repo,first_seen,score,acceleration,quality,antispam,sources,stars_at_discovery,age_days,label_date,stars_at_label,growth_pct,breakout,commits_7d_at_label,open_issues_at_label
yc-software/qm,2026-08-01,100,36,30,30,search,2897,2,,,,,,
0xwilliamortiz/ratchet,2026-08-01,100,35,30,30,search,402,1,,,,,,
ddoemonn/interior,2026-08-01,100,34,30,30,search,347,1,,,,,,
l00sed/termixer,2026-08-01,100,30,30,30,search,131,1,,,,,,
sqliteai/waste,2026-08-01,100,29,30,30,search,386,3,,,,,,
elder-plinius/GL4SS,2026-08-01,100,29,30,30,search,112,1,,,,,,
shuaiplus/inkstone,2026-08-01,100,28,30,30,search+rising,101,1,,,,,,
drumih/turbo-fieldfare,2026-08-01,100,28,30,30,hn,3125,14,,,,,,
Audio8-AI/Audio8_TTS,2026-08-01,100,27,30,30,search,214,3,,,,,,
aigclink/geolook,2026-08-01,100,27,30,30,search,151,2,,,,,,
github/copilot-sdk,2026-08-01,69,19,20,30,trending,10170,199,,,,,,
usekaneo/kaneo,2026-08-02,100,40,30,30,trending,5797,578,,,,,,
zhaoxuya520/reverse-skill,2026-08-02,100,40,30,30,trending,12164,80,2026-09-01,33570,176.0,0,,
paperswithbacktest/awesome-systematic-trading,2026-08-02,100,40,25,30,trending,12385,1638,,,,,,
trycompai/crm,2026-08-02,100,36,25,30,search,989,1,,,,,,
Anionex/codex-deepseek-vision,2026-08-02,100,30,30,30,search,158,1,,,,,,
brookfacehe2421/flashloan-scalper-bot,2026-08-02,100,30,30,30,rising,133,1,,,,,,
s1dashu/animated-voiceover,2026-08-02,100,34,25,30,search,330,1,,,,,,
richlegrand/bitbang-cli,2026-08-02,100,26,30,30,hn,139,101,,,,,,
bytedance/deer-flow,2026-08-02,100,25,30,30,trending,78830,452,2026-09-08,81903,3.9,0,,
helloaiden0305/odm_helper_demo,2026-08-02,100,25,30,30,search,106,2,,,,,,
TencentCloud/TencentDB-Agent-Memory,2026-08-02,100,22,30,30,trending,10436,117,,,,,,
microsoft/generative-ai-for-beginners,2026-08-03,100,40,30,30,trending,115068,1140,,,,,,
iv-org/invidious,2026-08-03,100,39,30,30,trending,22091,3099,2026-09-02,23893,8.2,0,,
microsoft/skill-recorder,2026-08-03,100,37,30,30,search,1066,4,,,,,,
DannyMac180/sol-advisor,2026-08-03,100,36,30,30,search,805,1,,,,,,
0xwilliamortiz/humanizer-cli,2026-08-03,100,36,30,30,search,542,1,,,,,,
FareedKhan-dev/kimi-k3-in-c,2026-08-03,100,36,30,30,search+ai-trending,501,1,,,,,,
NomaDamas/k-skill,2026-08-03,100,35,30,30,trending,6949,131,,,,,,
Anionex/codex-vision-proxy,2026-08-03,100,32,30,30,search,222,1,,,,,,
thebuggeddev/anatomy,2026-08-03,100,36,25,30,search,474,1,,,,,,
juxhinr/bindwidth,2026-08-03,100,30,30,30,rising+ai-trending,138,1,,,,,,
codecrafters-io/build-your-own-x,2026-08-03,70,25,15,30,trending,535272,3007,,,,,,
lyogavin/airllm,2026-08-03,65,15,20,30,trending,26043,1147,,,,,,
esengine/DeepSeek-Reasonix,2026-08-04,100,39,30,30,trending,30269,104,,,,,,
Panniantong/Agent-Reach,2026-08-04,100,36,30,30,trending,66030,161,,,,,,
genspark-ai/genoffice,2026-08-04,100,33,30,30,search,869,3,,,,,,
disler/super-simple-software-factory,2026-08-04,100,33,30,30,search+ai-trending,254,1,,,,,,
joeseesun/qiaomu-seo,2026-08-04,100,32,30,30,search,202,1,,,,,,
imsai-sh/zhuzhiliao,2026-08-04,100,36,25,30,search,1113,2,,,,,,
antirez/ds4,2026-08-04,100,30,30,30,trending,20456,89,,,,,,
openai/ten-proofs,2026-08-04,100,30,30,30,search,448,3,,,,,,
alikon-art/DeterminFlow,2026-08-04,100,30,30,30,search+ai-trending,151,1,,,,,,
guillermolg00/morphicons,2026-08-04,100,29,30,30,search,234,2,,,,,,
jamiepine/voicebox,2026-08-04,100,27,30,30,trending,48892,190,,,,,,
shiyu-coder/Kronos,2026-08-04,72,22,20,30,trending,35898,399,,,,,,
firecrawl/pdf-inspector,2026-08-05,100,40,30,30,trending,10504,179,2026-09-01,17609,67.6,0,,
livekit/agents,2026-08-05,100,39,30,30,trending,12554,1020,2026-08-28,13261,5.6,0,,
KKKKhazix/human-writing,2026-08-05,100,36,30,30,search,576,1,,,,,,
xmarre/ComfyUI-Spectrum-MiniMax-H3,2026-08-05,100,31,30,30,search,171,1,,,,,,
criptogus/HermesOffice,2026-08-05,100,30,30,30,search,136,1,,,,,,
cristicretu/diri,2026-08-05,100,30,30,30,search,156,1,,,,,,
HaidarJbeily7/cargo-frisk,2026-08-05,100,34,25,30,search,358,1,,,,,,
Accio-Lab/RealReplicaBench,2026-08-05,100,36,30,20,search,531,3,,,,,,
AMAP-ML/LongHorizon-Harness,2026-08-05,100,24,30,30,search+hf-papers,225,1,,,,,,
dtolnay/chapter-tgz,2026-08-05,100,23,30,30,search,108,3,,,,,,
obra/superpowers,2026-08-05,100,30,30,30,trending,266734,299,2026-08-20,274419,2.9,0,,
cypress-io/cypress,2026-08-05,62,12,20,30,trending,50858,4172,,,,,,
donnemartin/system-design-primer,2026-08-06,100,40,30,30,trending,361769,3447,,,,,,
tailwindlabs/tailwindcss,2026-08-06,100,39,30,30,trending,96962,3225,,,,,,
uber/ADR,2026-08-06,100,38,30,30,trending,1129,108,,,,,,
Binaryify/open-kimi-ppt-skill,2026-08-06,100,36,30,30,search+ai-trending,906,1,,,,,,
0xwilliamortiz/claude-red,2026-08-06,100,34,30,30,search,332,1,,,,,,
MakazhanAlpamys/Soup,2026-08-06,100,32,30,30,hn,316,166,2026-08-16,1742,451.3,1,,
Accio-Work-Lab/RealReplicaBench,2026-08-06,100,31,30,30,search,1029,4,,,,,,
oil-oil/codex-deepseek-subagent,2026-08-06,100,30,30,30,search,145,1,,,,,,
Carloscodix/qapla,2026-08-06,100,27,30,30,ai-trending,70,1,,,,,,
i-yam/passt,2026-08-06,100,26,30,30,ai-trending,57,1,,,,,,
addyosmani/agent-skills,2026-08-06,100,30,30,30,trending,82154,171,2026-08-30,90845,10.6,0,,
vercel/next.js,2026-08-06,63,18,15,30,trending,141608,3591,,,,,,
cloudflare/computer,2026-08-07,100,40,30,30,trending,4989,62,,,,,,
huangruiteng/loopx,2026-08-07,100,40,30,30,trending,3044,67,,,,,,
firecrawl/anydoc,2026-08-07,100,30,30,30,search,9114,3,,,,,,
Accio-org/RealReplicaBench,2026-08-07,100,30,30,30,search,1037,5,,,,,,
nfzerox/VirtualMacOniPad,2026-08-07,100,30,30,30,search,471,3,,,,,,
pradipta/wallfacer,2026-08-07,100,28,30,30,hn,77,9,,,,,,
okky-x0f/qoder-creator,2026-08-07,100,28,30,30,rising,92,1,,,,,,
eternityspring/shuohao-skills,2026-08-07,100,28,30,30,ai-trending,104,1,,,,,,
KimGLee/Cambium,2026-08-07,100,26,30,30,search,204,3,,,,,,
Larryvrh/ComfyUI-MiniMax-H3-Turbo,2026-08-07,100,31,25,30,search,180,1,,,,,,
mattpocock/skills,2026-08-07,100,30,30,30,trending,207520,184,2026-08-20,224152,8.0,0,,
tirth8205/code-review-graph,2026-08-07,70,25,20,25,trending,29143,161,,,,,,
goauthentik/authentik,2026-08-08,100,39,30,30,trending,23676,2412,,,,,,
google/guava,2026-08-08,100,33,30,30,trending,51777,4453,,,,,,
Significant-Gravitas/AutoGPT,2026-08-08,100,31,30,30,trending,186365,1240,,,,,,
666ghj/MiroFish,2026-08-08,100,27,30,30,trending,70589,255,,,,,,
zqxwce/vphone-ws,2026-08-08,100,27,30,30,search,436,4,,,,,,
T8mars/comfyui-minimax-h3-audio-T8,2026-08-08,100,31,25,30,search,358,2,,,,,,
